시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목
시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목
서울,구로구,사망[명],6,0,0,1,3,1,0,0,2,-,0,0,-,6,0,0,0,2,2,0,2,1,-,0,0,-,1,1,0,0,0,4,0,1,1,-,2,0,-,0,0,2,0,0,4,0,0,1,-,0,2,-,1,1,0,0,1,4,0,1,2,-,0,2,-,1,0,0,0,0,2,0,1,1,-,-,0,-
서울,구로구,부상[명],179,45,24,22,120,738,484,439,23,-,5,50,-,169,31,23,23,175,670,402,551,13,-,7,32,-,111,33,19,42,108,686,347,405,12,-,4,43,-,68,29,19,34,137,693,292,419,10,-,3,25,-,87,16,22,40,138,639,231,468,10,-,3,37,-,125,25,19,20,160,712,319,425,3,-,-,32,-
서울,영등포구,사고[건],213,51,46,40,213,"1,013",452,412,15,-,4,34,-,216,52,22,50,225,955,345,515,10,-,3,46,-,135,15,15,28,178,946,346,494,13,1,9,28,-,123,26,18,22,151,871,330,589,6,-,11,31,-,115,51,33,38,147,771,322,452,14,-,8,47,-,127,60,26,30,142,808,321,313,18,-,6,49,-
서울,영등포구,사망[명],7,0,0,1,4,6,0,3,1,-,0,0,-,2,0,0,0,3,1,1,1,1,-,0,2,-,3,0,0,0,0,1,0,1,0,0,0,2,-,6,0,1,0,2,2,4,0,0,-,0,0,-,3,1,0,0,2,5,1,2,3,-,2,1,-,1,0,0,0,2,0,1,1,2,-,0,0,-
서울,영등포구,부상[명],223,54,50,46,226,"1,466",829,580,17,-,4,37,-,229,55,22,53,239,"1,398",655,727,16,-,3,54,-,144,16,15,29,187,"1,426",592,635,14,1,9,34,-,126,27,17,22,160,"1,254",537,773,7,-,11,33,-,117,52,33,41,152,"1,105",518,615,18,-,7,49,-,134,60,28,32,146,"1,118",592,427,26,-,6,50,-
서울,동작구,사고[건],168,60,37,19,143,524,246,163,11,1,7,33,-,136,74,29,28,132,550,255,156,5,-,-,41,-,95,27,24,24,138,541,208,187,11,-,5,47,-,80,22,9,23,151,439,161,229,7,-,2,25,-,68,32,19,22,161,450,164,248,12,-,2,39,-,83,41,10,31,159,415,178,277,5,-,2,41,-
서울,동작구,사망[명],4,2,0,0,3,0,0,0,0,0,0,0,-,2,0,0,0,0,1,1,0,0,-,-,1,-,5,0,1,0,2,1,0,1,0,-,0,0,-,2,2,0,0,4,1,2,0,0,-,0,0,-,1,4,0,0,0,1,0,0,1,-,0,0,-,3,0,0,0,2,1,0,0,0,-,0,0,-
서울,동작구,부상[명],177,59,39,21,149,757,430,206,12,1,7,34,-,145,80,31,28,153,881,463,189,8,-,-,43,-,96,27,25,25,145,816,376,243,11,-,6,49,-,81,22,9,25,154,633,247,314,7,-,2,26,-,70,28,19,24,168,665,257,363,14,-,2,41,-,95,43,10,31,162,621,275,382,6,-,2,41,-
서울,관악구,사고[건],115,47,28,29,135,493,221,190,9,-,2,31,-,120,47,25,14,146,494,190,280,5,-,3,39,-,102,36,26,19,146,479,233,375,6,1,5,16,-,90,34,13,18,160,463,181,420,8,-,4,28,-,73,41,14,22,133,423,144,284,4,-,3,31,-,57,28,23,24,154,291,130,250,-,-,2,21,-
서울,관악구,사망[명],2,1,0,2,2,0,0,0,0,-,0,1,-,2,2,0,0,2,4,0,0,0,-,0,0,-,3,0,0,1,3,0,1,3,2,0,0,0,-,2,1,0,0,2,2,1,0,0,-,0,0,-,5,0,0,0,2,1,0,1,0,-,0,0,-,0,1,0,0,3,2,1,3,-,-,0,0,-
