시도,시군구,사고년도,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
시도,시군구,사고년도,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목,차대사람,차대사람,차대사람,차대사람,차대사람,차대차,차대차,차대차,차량단독,차량단독,차량단독,차량단독,철길건널목
시도,시군구,사고년도,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목,횡단중,차도통행중,길가장자리구역통행중,보도통행중,기타,충돌,추돌,기타,충돌,도로이탈,전도전복,기타,철길건널목
서울,광진구,사망[명],2,1,2,0,1,3,0,0,1,-,0,0,-,1,0,0,0,2,0,0,0,0,-,0,0,-,2,0,0,0,1,1,0,0,0,-,0,0,-,1,0,0,0,1,1,0,0,1,-,0,0,-,3,1,0,0,2,0,1,2,0,-,-,0,-,1,0,0,0,1,0,0,2,0,-,0,0,-
서울,광진구,부상[명],105,24,52,18,87,577,363,214,11,-,3,20,-,77,23,18,11,138,600,279,136,10,-,8,16,-,54,20,6,15,103,457,241,219,9,-,3,18,-,37,20,20,17,116,527,210,247,2,-,2,18,-,45,8,7,13,101,386,183,208,3,-,-,12,-,23,13,7,22,121,269,122,307,2,-,1,12,-
서울,강북구,사고[건],141,52,25,19,159,417,152,209,6,-,5,31,-,142,30,31,12,183,486,172,169,4,-,5,43,-,63,19,10,10,170,274,109,393,-,-,2,37,-,74,21,19,5,140,385,112,233,4,-,4,20,-,91,26,24,15,165,361,123,192,1,-,5,41,-,74,63,23,17,109,409,107,129,3,-,-,38,-
서울,강북구,사망[명],6,0,0,0,3,2,0,0,0,-,0,2,-,2,0,0,0,0,3,1,1,0,-,0,0,-,1,0,0,0,0,1,0,1,-,-,0,0,-,3,0,0,0,2,1,0,0,0,-,0,0,-,3,0,1,0,2,0,0,0,0,-,0,0,-,1,0,0,1,2,1,0,0,0,-,-,0,-
서울,강북구,부상[명],144,57,25,19,163,606,268,308,8,-,5,30,-,151,30,32,12,191,698,304,235,4,-,5,44,-,70,20,10,10,180,377,168,540,-,-,2,43,-,79,22,19,5,144,536,183,281,7,-,4,22,-,92,26,24,16,170,482,177,229,1,-,5,44,-,79,69,23,16,109,553,154,172,3,-,-,39,-
서울,금천구,사고[건],102,20,5,10,129,348,166,115,10,-,4,23,-,95,12,8,20,124,343,107,176,5,-,3,27,-,63,6,6,11,111,281,118,164,13,1,5,31,-,54,3,5,10,101,275,101,240,8,1,1,28,-,49,1,2,7,149,145,105,353,1,-,-,32,-,63,9,8,40,105,213,95,291,11,1,2,38,-
서울,금천구,사망[명],3,2,0,0,0,0,0,0,0,-,1,0,-,3,0,1,0,1,1,0,1,2,-,0,0,-,2,0,0,0,1,1,0,1,1,0,0,0,-,3,1,0,1,1,7,1,2,0,0,0,0,-,0,0,0,1,4,1,0,2,0,-,-,1,-,3,0,0,0,0,1,0,1,2,0,0,0,-
서울,금천구,부상[명],110,21,5,10,140,571,281,147,12,-,3,26,-,100,12,8,20,130,559,242,245,7,-,3,27,-,74,7,6,11,120,412,187,210,15,1,9,32,-,56,2,5,10,103,453,158,339,9,1,1,30,-,52,1,2,6,147,217,212,479,1,-,-,35,-,69,9,9,41,113,338,170,431,11,1,2,38,-
서울,용산구,사고[건],126,26,12,8,123,429,321,240,16,-,2,27,-,95,16,33,6,109,380,269,247,9,-,2,21,-,56,11,5,13,70,269,128,300,8,1,4,25,-,52,11,12,12,87,313,159,341,2,-,2,23,-,76,15,8,14,107,270,140,354,4,-,7,19,-,63,10,8,13,111,276,156,331,11,-,3,14,-
서울,용산구,사망[명],4,1,0,2,1,0,0,3,2,-,1,0,-,3,1,0,1,1,1,0,0,3,-,0,0,-,3,1,0,0,1,1,0,3,2,0,1,0,-,1,1,0,0,0,0,0,1,1,-,0,1,-,3,0,0,0,2,0,1,2,1,-,2,0,-,1,1,0,0,0,1,1,3,3,-,0,1,-
서울,용산구,부상[명],126,27,12,9,133,619,533,344,19,-,1,29,-,101,16,33,5,115,529,449,333,8,-,2,23,-,59,11,5,13,70,394,187,398,11,1,3,26,-,53,10,13,13,92,443,259,460,2,-,2,22,-,75,16,8,17,118,371,220,477,3,-,5,20,-,65,9,8,14,116,382,250,492,11,-,3,16,-
서울,성동구,사고[건],104,11,20,16,120,309,228,282,20,-,5,28,-,84,22,30,14,75,427,198,206,6,-,3,26,-,86,29,23,32,74,448,168,229,9,-,3,18,-,70,14,22,18,121,350,160,274,8,1,1,18,-,79,27,16,19,69,324,162,227,7,-,2,16,-,70,24,22,15,85,368,132,187,5,-,1,10,-
서울,성동구,사망[명],4,0,0,0,1,1,0,1,1,-,0,1,-,4,1,0,1,2,1,1,0,1,-,1,1,-,4,0,0,1,0,1,1,2,0,-,0,0,-,2,0,0,0,3,1,0,0,1,0,0,1,-,1,0,0,0,2,1,1,3,0,-,0,0,-,1,0,0,0,2,1,1,0,0,-,0,1,-
서울,성동구,부상[명],106,12,20,16,126,425,420,382,21,-,6,27,-,80,26,30,15,76,567,357,249,7,-,3,29,-,84,31,24,34,77,633,272,293,10,-,3,20,-,72,14,22,18,124,465,264,355,9,1,1,17,-,82,28,16,19,70,438,258,280,11,-,2,18,-,76,25,23,15,89,523,208,244,8,-,1,9,-
서울,동대문구,사고[건],156,44,23,18,251,501,233,419,10,-,2,42,-,143,45,14,22,200,532,253,306,8,-,4,38,-,130,33,11,22,135,511,172,384,10,-,2,38,-,93,32,7,28,151,439,176,433,2,-,5,24,-,127,52,14,34,188,450,184,436,8,-,7,34,-,109,57,12,44,163,527,217,498,2,-,3,42,-
서울,동대문구,사망[명],4,0,0,0,5,3,0,2,0,-,0,0,-,3,1,0,0,2,5,1,1,1,-,0,1,-,3,0,0,0,2,1,0,2,0,-,0,2,-,7,2,0,0,2,3,2,0,1,-,0,0,-,0,1,0,1,0,2,0,2,1,-,3,2,-,3,1,0,0,1,2,0,1,0,-,0,2,-
서울,동대문구,부상[명],158,44,24,21,257,676,411,511,14,-,2,42,-,150,46,14,24,212,724,398,371,7,-,4,38,-,135,35,11,24,140,693,291,467,10,-,2,37,-,87,30,7,28,153,536,260,525,1,-,5,24,-,136,52,14,35,198,586,268,507,9,-,4,34,-,114,57,12,45,171,683,320,588,2,-,3,44,-
서울,성북구,사고[건],206,42,20,22,100,594,236,145,15,-,7,40,-,204,54,12,20,116,680,228,130,11,2,10,42,-,148,36,13,21,122,557,180,161,8,1,8,20,-,101,33,8,27,126,479,190,279,11,1,7,23,-,106,41,9,25,116,466,186,294,6,-,2,37,-,91,23,12,23,153,474,174,250,3,1,4,48,-
서울,성북구,사망[명],5,2,0,1,1,2,0,1,2,-,0,0,-,2,1,0,0,1,1,0,0,1,0,1,1,-,1,0,0,0,2,0,2,1,1,0,0,0,-,3,0,0,1,0,5,1,2,2,0,1,0,-,2,1,0,0,0,2,0,2,1,-,0,0,-,1,1,0,1,2,3,0,0,0,0,0,0,-
서울,성북구,부상[명],214,42,20,24,103,875,427,201,14,-,7,53,-,213,53,12,20,121,983,374,153,13,2,9,54,-,157,37,13,22,123,751,283,197,10,1,8,20,-,102,34,11,26,131,641,284,331,12,1,6,27,-,108,40,11,25,120,627,273,376,6,-,2,38,-,94,22,12,22,159,632,258,322,4,1,4,51,-
서울,도봉구,사고[건],134,24,14,9,101,233,88,183,4,-,3,31,-,122,19,12,16,94,324,92,138,4,-,3,28,-,109,20,6,13,76,265,81,144,5,-,1,21,-,76,14,5,12,60,209,79,107,3,1,1,24,-,67,9,13,13,57,198,73,72,3,-,1,16,-,61,8,6,5,54,206,62,95,4,-,2,27,-
서울,도봉구,사망[명],2,0,0,0,3,0,0,1,0,-,0,0,-,0,0,0,0,2,0,0,0,0,-,0,2,-,2,1,0,0,1,3,0,0,0,-,0,0,-,0,0,0,0,1,1,0,1,0,0,0,0,-,1,0,0,0,1,0,0,0,0,-,0,0,-,3,1,0,0,0,2,0,0,0,-,0,1,-
서울,도봉구,부상[명],140,24,14,9,104,332,159,238,4,-,3,34,-,133,19,13,19,99,475,172,197,4,-,3,29,-,110,19,7,13,81,389,148,193,7,-,1,22,-,86,14,5,14,62,280,126,148,6,1,1,25,-,75,11,13,17,60,278,131,99,4,-,1,16,-,61,7,6,5,58,275,104,135,5,-,2,27,-
서울,은평구,사고[건],126,53,34,22,132,444,144,133,12,-,5,29,-,128,37,28,30,138,444,129,130,6,-,6,43,-,115,27,8,14,111,401,133,110,7,-,3,24,-,91,16,14,39,90,395,101,87,5,1,8,20,-,95,41,15,17,104,324,106,185,2,-,7,22,-,97,43,25,30,125,373,109,188,1,-,2,46,-
서울,은평구,사망[명],2,1,1,0,3,2,0,2,1,-,0,0,-,2,0,0,0,1,3,0,1,0,-,0,0,-,8,1,0,0,1,2,0,1,1,-,0,0,-,2,0,0,0,0,3,1,1,1,1,0,2,-,1,1,0,0,1,1,0,2,0,-,2,1,-,3,1,0,0,2,0,0,1,0,-,0,0,-
서울,은평구,부상[명],128,52,36,22,135,716,256,175,24,-,5,31,-,139,37,30,32,142,662,197,165,8,-,7,45,-,115,27,8,15,113,723,216,153,12,-,4,29,-,95,18,14,39,93,631,190,96,6,0,8,28,-,97,40,15,17,111,471,204,273,2,-,5,21,-,98,43,27,34,132,546,166,257,2,-,2,46,-
서울,서대문구,사고[건],149,46,15,17,98,403,166,90,12,-,3,34,-,136,40,10,20,120,421,163,152,11,-,3,37,-,77,25,9,16,80,390,119,177,6,-,3,26,-,90,36,6,17,67,383,143,139,11,-,3,35,-,95,34,11,21,94,363,137,158,10,-,7,44,-,101,17,16,19,70,379,139,123,9,-,2,41,-
서울,서대문구,사망[명],3,1,0,0,0,1,0,0,0,-,0,0,-,4,2,0,0,2,4,0,0,0,-,1,1,-,1,1,0,0,4,0,0,0,0,-,0,0,-,3,0,0,0,0,4,0,0,1,-,0,1,-,1,0,0,1,1,1,1,0,0,-,0,0,-,0,0,0,0,1,2,0,0,1,-,0,0,-
서울,서대문구,부상[명],155,47,18,18,106,598,289,111,19,-,3,39,-,139,38,10,22,125,733,281,206,15,-,2,38,-,87,24,10,16,79,579,198,225,7,-,5,26,-,102,36,6,17,71,547,213,161,13,-,3,37,-,98,35,11,20,96,553,228,198,10,-,8,46,-,106,17,18,19,70,561,213,159,9,-,2,46,-
