"자치구별(1)","자치구별(2)",항목,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)","자치구별(2)",항목,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)","자치구별(2)",항목,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명,소계,맑음,흐림,비,안개,눈,기타/불명
"합계","중랑구",사망자 (명),10,7,1,1,-,-,1,12,7,4,1,-,-,-,4,4,-,-,-,-,-,7,6,-,1,-,-,-,10,9,1,-,-,-,-,7,7,-,-,-,-,-
"합계","중랑구",부상자 (명),2135,1892,110,97,-,14,22,2122,1902,74,112,-,2,32,1952,1717,57,135,-,1,42,1826,1613,45,113,-,7,48,1890,1604,86,111,-,2,87,1704,1533,55,99,-,2,15
"합계","성북구",발생건수 (건),1427,1209,111,97,-,10,-,1509,1325,85,95,-,3,1,1275,1118,56,96,-,2,3,1285,1103,65,72,-,9,36,1288,1166,31,73,-,3,15,1256,1063,31,92,-,8,62
"합계","성북구",사망자 (명),14,13,1,-,-,-,-,8,6,1,1,-,-,-,7,6,-,1,-,-,-,15,13,-,2,-,-,-,8,6,1,1,-,-,-,8,6,-,1,-,-,1
"합계","성북구",부상자 (명),1980,1659,152,157,-,12,-,2007,1778,104,120,-,3,2,1622,1431,65,118,-,5,3,1606,1385,83,84,-,11,43,1626,1473,38,93,-,4,18,1581,1349,34,110,-,15,73
"합계","강북구",발생건수 (건),1216,963,166,73,-,11,3,1277,1034,162,80,-,1,-,1087,938,53,88,-,3,5,1017,934,26,51,-,5,1,1044,936,22,72,-,3,11,972,869,32,67,-,3,1
"합계","강북구",사망자 (명),13,7,5,1,-,-,-,7,5,1,1,-,-,-,3,3,-,-,-,-,-,6,5,-,1,-,-,-,6,5,-,1,-,-,-,5,4,1,-,-,-,-
"합계","강북구",부상자 (명),1633,1283,225,107,-,15,3,1706,1366,229,110,-,1,-,1420,1236,63,113,-,3,5,1302,1191,40,64,-,5,2,1266,1131,30,89,-,3,13,1217,1087,37,89,-,3,1
"합계","도봉구",발생건수 (건),824,709,45,66,-,4,-,852,743,53,55,-,1,-,741,618,54,66,-,2,1,591,497,34,34,-,3,23,522,459,19,38,-,1,5,530,467,17,43,-,1,2
"합계","도봉구",사망자 (명),6,5,-,1,-,-,-,4,3,1,-,-,-,-,7,7,-,-,-,-,-,3,3,-,-,-,-,-,2,1,1,-,-,-,-,7,7,-,-,-,-,-
"합계","도봉구",부상자 (명),1061,906,63,85,-,7,-,1163,1008,76,78,-,1,-,990,815,79,90,-,5,1,768,638,51,47,-,3,29,705,618,23,47,-,1,16,685,601,27,53,-,2,2
