시도,시군구,기준년도,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023
시도,시군구,기준년도,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타,중앙선침범,신호위반,안전거리미확보,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,기타
서울,서대문구,사고[건],35,122,78,634,36,44,47,36,147,92,655,41,60,46,14,106,108,503,66,31,47,24,126,118,488,50,36,57,17,125,110,524,65,46,53,19,116,77,534,50,38,38
서울,서대문구,사망[명],1,0,0,3,0,0,1,0,0,1,13,0,0,0,0,1,0,5,0,0,0,0,1,2,4,0,1,1,0,1,0,3,0,1,0,0,1,0,3,0,0,0
서울,서대문구,부상[명],53,174,115,866,45,47,49,60,337,143,837,64,63,50,19,168,182,637,85,33,52,40,195,172,598,63,37,58,32,202,166,670,83,45,57,27,181,126,660,76,38,44
서울,마포구,사고[건],43,177,254,923,48,58,73,37,166,210,830,51,43,72,29,154,184,675,39,45,51,27,153,169,646,16,22,41,29,134,101,697,15,29,37,25,131,132,844,17,42,41
서울,마포구,사망[명],1,2,0,6,0,0,0,1,2,0,3,0,0,0,0,2,0,11,0,0,0,0,2,0,6,1,0,4,1,1,0,4,0,3,1,0,1,0,11,0,0,1
서울,마포구,부상[명],67,258,399,"1,350",70,62,80,53,268,339,"1,140",68,48,80,42,207,266,935,52,48,61,45,232,255,911,19,23,51,32,174,156,980,28,26,49,36,188,198,"1,148",24,46,47
서울,강서구,사고[건],54,217,144,812,30,94,44,71,251,179,"1,081",36,82,43,58,225,132,950,37,55,43,69,207,173,853,29,52,61,41,192,153,"1,001",41,57,54,36,188,162,939,43,57,42
서울,강서구,사망[명],0,3,1,7,0,0,0,0,4,2,10,0,0,1,0,3,0,11,0,1,0,0,3,0,8,0,1,1,1,1,0,10,1,0,2,0,1,1,6,0,0,1
서울,강서구,부상[명],119,348,226,"1,146",44,104,46,94,368,274,"1,440",49,87,44,85,356,188,"1,238",53,56,47,99,317,265,"1,095",42,54,79,66,273,223,"1,266",61,58,66,46,299,251,"1,272",61,60,47
서울,구로구,사고[건],53,228,200,873,31,61,50,41,244,166,857,43,65,59,46,177,189,720,44,51,48,41,177,218,738,39,41,55,32,140,154,748,49,40,63,32,181,199,735,42,62,64
서울,구로구,사망[명],0,2,0,9,0,2,0,0,3,2,3,0,1,1,0,1,1,6,0,0,1,0,2,0,7,0,0,0,0,0,2,7,0,0,3,1,1,0,3,0,0,0
서울,구로구,부상[명],74,360,302,"1,186",35,67,53,57,354,253,"1,165",62,67,59,65,261,289,959,58,53,53,52,225,310,934,50,43,63,41,197,212,983,79,41,71,45,249,295,983,67,63,76
서울,영등포구,사고[건],82,325,293,"1,505",26,94,68,72,331,293,"1,446",42,98,80,78,291,296,"1,320",30,68,64,62,267,329,"1,312",22,65,61,57,211,271,"1,228",20,69,83,30,224,344,"1,086",30,72,64
서울,영등포구,사망[명],2,4,0,11,0,1,1,0,2,0,6,0,1,0,0,2,0,5,0,0,0,2,0,0,13,0,0,0,3,3,0,11,0,0,3,0,0,0,6,0,0,1
서울,영등포구,부상[명],112,490,464,"2,088",40,104,83,124,496,441,"2,008",64,106,92,121,458,469,"1,765",47,69,68,89,388,509,"1,722",34,70,69,89,295,412,"1,635",26,70,101,49,313,537,"1,473",36,76,70
