시도,시군구,사고년도,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,,,,,,,,,,,,,,,
시도,시군구,사고년도,특별광역시도,고속국도,기타,특별광역시도,고속국도,기타,특별광역시도,고속국도,기타,특별광역시도,고속국도,기타,특별광역시도,고속국도,기타,특별광역시도,고속국도,기타,,,,,,,,,,,,,,,
서울,중구,부상[명],"1,489",0,17,"1,597",2,16,"1,245",0,3,"1,138",0,18,"1,207",0,5,"1,157",0,37,,,,,,,,,,,,,,,
서울,양천구,사고[건],"1,391",3,34,"1,420",3,83,"1,303",1,40,"1,249",2,54,"1,107",5,53,"1,215",4,2,,,,,,,,,,,,,,,
서울,양천구,사망[명],11,0,0,10,1,0,7,0,0,13,0,1,8,0,0,5,0,0,,,,,,,,,,,,,,,
서울,양천구,부상[명],"1,899",4,36,"1,979",6,100,"1,775",3,51,"1,630",3,59,"1,461",8,60,"1,617",5,2,,,,,,,,,,,,,,,
서울,중랑구,사고[건],"1,470",3,92,"1,525",4,91,"1,370",3,74,"1,272",3,98,"1,221",4,176,"1,254",1,13,,,,,,,,,,,,,,,
서울,중랑구,사망[명],10,0,0,11,1,0,4,0,0,7,0,0,7,1,2,7,0,0,,,,,,,,,,,,,,,
서울,중랑구,부상[명],"2,009",10,116,"2,010",4,108,"1,860",5,87,"1,709",9,108,"1,672",5,213,"1,687",1,16,,,,,,,,,,,,,,,
서울,노원구,사고[건],"1,528",6,35,"1,632",7,64,"1,411",3,48,"1,316",9,88,"1,191",4,189,"1,239",10,117,,,,,,,,,,,,,,,
서울,노원구,사망[명],13,0,1,7,1,0,5,0,0,8,0,0,6,0,0,8,0,1,,,,,,,,,,,,,,,
서울,노원구,부상[명],"2,173",18,36,"2,213",13,76,"1,951",5,60,"1,815",17,108,"1,653",9,251,"1,702",21,146,,,,,,,,,,,,,,,
서울,광진구,사고[건],962,0,146,953,0,20,855,0,14,878,0,44,706,0,2,675,0,42,,,,,,,,,,,,,,,
서울,광진구,사망[명],8,0,2,3,0,0,4,0,0,4,0,0,9,0,0,4,0,0,,,,,,,,,,,,,,,
서울,광진구,부상[명],"1,283",0,191,"1,291",0,25,"1,125",0,20,"1,153",0,63,964,0,2,854,0,45,,,,,,,,,,,,,,,
서울,강북구,사고[건],"1,198",0,18,"1,267",0,10,"1,083",0,4,"1,000",0,17,"1,039",0,5,967,0,5,,,,,,,,,,,,,,,
서울,강북구,사망[명],12,0,1,7,0,0,3,0,0,6,0,0,6,0,0,5,0,0,,,,,,,,,,,,,,,
서울,강북구,부상[명],"1,613",0,20,"1,694",0,12,"1,415",0,5,"1,281",0,21,"1,259",0,7,"1,212",0,5,,,,,,,,,,,,,,,
서울,금천구,사고[건],922,3,7,907,5,8,782,2,26,799,5,23,832,4,8,855,3,18,,,,,,,,,,,,,,,
서울,금천구,사망[명],5,1,0,9,0,0,6,0,0,15,0,1,9,0,0,7,0,0,,,,,,,,,,,,,,,
서울,금천구,부상[명],"1,315",4,7,"1,327",12,14,"1,050",3,31,"1,132",11,24,"1,134",8,10,"1,202",5,25,,,,,,,,,,,,,,,
서울,용산구,사고[건],"1,311",0,19,"1,168",0,19,880,0,10,912,0,102,863,0,151,791,0,205,,,,,,,,,,,,,,,
서울,용산구,사망[명],14,0,0,10,0,0,12,0,0,5,0,0,10,0,1,10,0,1,,,,,,,,,,,,,,,
서울,용산구,부상[명],"1,825",0,27,"1,590",0,24,"1,165",0,13,"1,252",0,117,"1,152",0,178,"1,096",0,270,,,,,,,,,,,,,,,
서울,성동구,사고[건],"1,131",0,12,"1,073",0,18,"1,106",0,13,"1,020",0,37,928,0,20,874,0,45,,,,,,,,,,,,,,,
서울,성동구,사망[명],9,0,0,13,0,0,9,0,0,8,0,0,8,0,0,6,0,0,,,,,,,,,,,,,,,
서울,성동구,부상[명],"1,543",0,18,"1,419",0,20,"1,467",0,14,"1,322",0,40,"1,200",0,22,"1,163",0,58,,,,,,,,,,,,,,,
서울,동대문구,사고[건],"1,688",0,11,"1,513",0,52,"1,307",0,141,"1,306",0,84,"1,362",0,172,"1,566",0,108,,,,,,,,,,,,,,,
서울,동대문구,사망[명],14,0,0,15,0,0,10,0,0,17,0,0,10,0,2,10,0,0,,,,,,,,,,,,,,,
서울,동대문구,부상[명],"2,148",0,12,"1,925",0,63,"1,658",0,187,"1,561",0,95,"1,642",0,201,"1,917",0,122,,,,,,,,,,,,,,,
서울,성북구,사고[건],"1,408",1,18,"1,432",0,77,"1,213",0,62,"1,246",0,39,"1,244",0,44,"1,240",0,16,,,,,,,,,,,,,,,
서울,성북구,사망[명],14,0,0,7,0,1,7,0,0,15,0,0,8,0,0,8,0,0,,,,,,,,,,,,,,,
서울,성북구,부상[명],"1,960",1,19,"1,921",0,86,"1,554",0,68,"1,565",0,41,"1,570",0,56,"1,562",0,19,,,,,,,,,,,,,,,
서울,도봉구,사고[건],822,0,2,848,0,4,740,0,1,580,0,11,518,0,4,520,0,10,,,,,,,,,,,,,,,
서울,도봉구,사망[명],6,0,0,4,0,0,7,0,0,3,0,0,2,0,0,7,0,0,,,,,,,,,,,,,,,
서울,도봉구,부상[명],"1,059",0,2,"1,157",0,6,989,0,1,755,0,13,701,0,4,674,0,11,,,,,,,,,,,,,,,
서울,은평구,사고[건],"1,084",0,50,976,0,143,853,0,100,856,0,11,868,0,50,"1,037",0,2,,,,,,,,,,,,,,,
서울,은평구,사망[명],12,0,0,7,0,0,14,0,0,11,0,0,9,0,0,7,0,0,,,,,,,,,,,,,,,
서울,은평구,부상[명],"1,520",0,60,"1,276",0,188,"1,258",0,157,"1,205",0,13,"1,193",0,63,"1,351",0,2,,,,,,,,,,,,,,,
서울,서대문구,사고[건],981,0,52,"1,049",0,64,903,0,25,889,0,41,937,0,37,909,0,7,,,,,,,,,,,,,,,
서울,서대문구,사망[명],5,0,0,13,0,1,6,0,0,9,0,0,5,0,0,4,0,0,,,,,,,,,,,,,,,
서울,서대문구,부상[명],"1,342",0,61,"1,534",0,75,"1,224",0,32,"1,158",0,48,"1,265",0,38,"1,206",0,14,,,,,,,,,,,,,,,
